Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,"Vol,",Perubahan%
15/05/2023,"14,802.30","14,790.00","14,824.50","14,787.60",0.22K,0.39%
12/5/2023,"14,745.00","14,765.00","14,772.00","14,735.00",0.19K,0.17%
11/5/2023,"14,720.00","14,710.00","14,745.00","14,696.00",0.17K,0.00%
10/5/2023,"14,720.00","14,752.50","14,760.00","14,725.00",0.22K,-0.03%
9/5/2023,"14,725.00","14,750.00","14,772.50","14,730.00",0.17K,0.20%
8/5/2023,"14,695.00","14,670.00","14,721.50","14,665.00",0.14K,0.17%
5/5/2023,"14,670.00","14,680.00","14,691.50","14,650.00",0.14K,-0.03%
4/5/2023,"14,675.00","14,615.00","14,690.00","14,565.00",0.20K,-0.03%
3/5/2023,"14,680.00","14,707.50","14,722.50","14,684.00",0.14K,-0.14%
2/5/2023,"14,700.00","14,645.00","14,712.50","14,645.00",0.16K,0.24%
28/04/2023,"14,665.00","14,675.00","14,691.00","14,627.50",0.17K,-0.24%
27/04/2023,"14,700.00","14,830.00","14,832.50","14,690.00",0.24K,-0.88%
26/04/2023,"14,830.00","14,895.00","14,935.00","14,820.00",0.19K,-0.07%
18/04/2023,"14,840.00","14,815.00","14,867.50","14,810.00",0.13K,0.37%
17/04/2023,"14,785.00","14,755.00","14,794.00","14,741.00",0.16K,0.61%
14/04/2023,"14,695.00","14,695.00","14,705.00","14,645.00",0.16K,-0.37%
13/04/2023,"14,750.00","14,840.00","14,847.50","14,744.50",0.19K,-0.84%
12/4/2023,"14,875.00","14,887.50","14,907.50","14,837.50",0.20K,-0.04%
11/4/2023,"14,881.00","14,935.00","14,935.00","14,870.00",0.17K,-0.12%
10/4/2023,"14,899.00","14,910.00","14,937.50","14,888.50",0.17K,-0.07%
6/4/2023,"14,910.00","14,965.00","14,972.50","14,912.50",0.17K,-0.07%
5/4/2023,"14,920.00","14,922.50","14,952.50","14,900.00",0.15K,0.17%
4/4/2023,"14,895.00","14,955.00","14,955.00","14,880.00",0.18K,-0.47%
3/4/2023,"14,965.00","15,000.00","15,012.50","14,968.00",0.15K,-0.17%
31/03/2023,"14,990.00","14,980.00","14,995.00","14,950.00",0.15K,-0.37%
30/03/2023,"15,045.00","15,075.00","15,087.50","15,044.00",0.13K,-0.10%
29/03/2023,"15,060.00","15,075.00","15,107.50","15,062.50",0.22K,-0.17%
28/03/2023,"15,085.00","15,120.00","15,125.00","15,065.00",0.19K,-0.46%
27/03/2023,"15,155.00","15,190.00","15,192.50","15,156.00",0.13K,0.03%
24/03/2023,"15,150.00","15,165.00","15,207.50","15,145.00",0.14K,-1.24%
21/03/2023,"15,340.00","15,345.00","15,360.00","15,334.00",0.14K,-0.10%
